Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
2/16/1900,2/16/2020,17,29,3,2/16/2019,31,31,2,2/16/2018,63,29,6,2/16/2017,56,27,4,2/17/2016,36,27,6,46.5,28.5,4.5,12.67889481,15.107835,19.85506081,1.574827451,1.876522649,2.4661688,1.574827451,1.876522649,2.4661688
2/17/1900,2/17/2020,35,29,9,2/17/2019,9,31,8,2/17/2018,38,30,4,2/17/2017,24,32,3,2/18/2016,34,28,5,26.25,30.25,5,10.62544464,12.6609982,16.63937217,1.404561178,1.673637871,2.199533005,1.776644974,2.11700306,2.782213633
2/18/1900,2/18/2020,25,29,7,2/18/2019,20,32,8,2/18/2018,21,31,4,2/18/2017,15,43,5,2/19/2016,15,27,15,17.75,33.25,8,2.633050531,3.137473223,4.123338761,5.63327348,6.712459367,8.821666965,4.084627845,4.867134276,6.396498707
2/19/1900,2/19/2020,22,30,3,2/19/2019,28,30,5,2/19/2018,32,31,11,2/19/2017,29,35,3,2/20/2016,32,29,4,30.25,31.25,5.75,1.695476311,2.020284633,2.655104073,2.162946036,2.577309167,3.387158402,2.955782593,3.522032194,4.628734918
2/20/1900,2/20/2020,15,28,6,2/20/2019,12,30,9,2/20/2018,40,14,16,2/20/2017,29,36,8,2/21/2016,20,27,2,25.25,26.75,8.75,9.900484065,11.7971544,15.50408897,7.637950034,9.101178815,11.96097646,4.718513326,5.622455414,7.389158947
2/21/1900,2/21/2020,19,33,3,2/21/2019,30,31,7,2/21/2018,34,22,7,2/21/2017,26,27,20,2/22/2016,18,29,7,27,27.25,10.25,5.618244711,6.694551484,8.798132018,3.176385125,3.784896324,4.974196944,5.345774288,6.36988295,8.371445237
2/22/1900,2/22/2020,22,32,3,2/22/2019,26,34,6,2/22/2018,24,27,8,2/22/2017,50,24,18,2/23/2016,24,16,19,31,25.25,12.75,10.44622353,12.44744307,16.35871316,6.131539849,7.306180365,9.601948623,5.511896078,6.567829272,8.631590801
2/23/1900,2/23/2020,41,37,4,2/23/2019,23,35,15,2/23/2018,20,20,13,2/23/2017,78,33,9,2/24/2016,47,20,13,42,27,12.5,22.09865592,26.33217266,34.60634099,6.681427018,7.961411341,10.46306809,2.069728759,2.46623393,3.241180796
2/24/1900,2/24/2020,45,37,5,2/24/2019,29,33,3,2/24/2018,40,30,5,2/24/2017,49,16,6,2/25/2016,40,26,6,39.5,26.25,5,6.731853597,8.021498317,10.54203576,6.094658071,7.262233017,9.544192017,1.163087154,1.385903824,1.821386368
2/25/1900,2/25/2020,40,32,17,2/25/2019,17,34,1,2/25/2018,21,28,2,2/25/2017,19,22,4,2/26/2016,17,31,3,18.5,28.75,2.5,1.574827451,1.876522649,2.4661688,4.213683533,5.020913613,6.598599014,1.061748451,1.265151312,1.662690666
