,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
52,2/22/1900,2/22/2020,40,45,2/22/2019,46,52,2/22/2018,31,54,2/22/2017,37,62,2/22/2016,36,33,37.5,5.136053804,6.11998558,8.043024422,50.25,10.10336082,12.03889696,15.82179256,22-Feb, 
53,2/23/1900,2/23/2020,44,54,2/23/2019,41,51,2/23/2018,30,54,2/23/2017,41,79,2/23/2016,34,55,36.5,4.479521621,5.337679232,7.014899604,59.75,10.64664255,12.68625707,16.67256795,23-Feb, 
54,2/24/1900,2/24/2020,44,74,2/24/2019,43,47,2/24/2018,22,53,2/24/2017,44,49,2/24/2016,32,61,35.25,8.530407131,10.16460704,13.35855805,52.5,5.09196669,6.067452543,7.973984309,24-Feb, 
55,2/25/1900,2/25/2020,32,62,2/25/2019,43,45,2/25/2018,29,57,2/25/2017,40,32,2/25/2016,33,42,36.25,5.260746612,6.268566225,8.23829249,44,8.46740229,10.08953214,13.25989291,25-Feb, 
56,2/26/1900,2/26/2020,40,54,2/26/2019,41,38,2/26/2018,38,46,2/26/2017,36,38,2/26/2016,39,32,38.5,1.712017935,2.039995193,2.681008141,38.5,4.724482352,5.629567947,7.398506401,26-Feb, 
57,2/27/1900,2/27/2020,39,33,2/27/2019,39,30,2/27/2018,44,38,2/27/2017,41,53,2/27/2016,37,95,40.25,2.455831281,2.926303462,3.845814652,54,23.80780027,28.36874377,37.28284911,27-Feb, 
58,2/28/1900,2/28/2020,39,36,2/28/2019,41,53,2/28/2018,41,53,2/28/2017,43,57,2/28/2016,54,62,44.75,5.130563633,6.113443638,8.034426852,56.25,3.513408887,4.186484906,5.501973804,28-Feb, 
59,2/29/1900,2/29/2020,36,30,3/1/2019,41,66,3/1/2018,42,69,3/1/2017,38,52,2/29/2016,36,53,39.25,2.264786848,2.698659979,3.546640402,60,7.201128352,8.580673676,11.27691676,29-Feb, 
60,3/1/1900,3/1/2020,41,32,3/2/2019,43,52,3/2/2018,39,26,3/2/2017,44,41,3/1/2016,44,47,42.5,1.957767409,2.332823753,3.065850103,41.5,9.268279488,11.04383618,14.51406101,1-Mar,1-Mar
61,3/2/1900,3/2/2020,47,60,3/3/2019,47,60,3/3/2018,37,32,3/3/2017,40,55,3/2/2016,42,54,41.5,3.456802509,4.119034247,5.413328611,50.25,10.23637843,12.19739722,16.0300972,2-Mar, 
62,3/3/1900,3/3/2020,41,56,3/4/2019,47,38,3/4/2018,41,20,3/4/2017,40,54,3/3/2016,37,34,41.25,3.448640036,4.10930806,5.400546236,36.5,11.50418043,13.70807648,18.01546628,3-Mar, 
63,3/4/1900,3/4/2020,39,29,3/5/2019,42,51,3/5/2018,37,42,3/5/2017,40,48,3/4/2016,35,59,38.5,2.557028878,3.046887836,4.004289382,50,5.815435768,6.929519122,9.106931839,4-Mar, 
64,3/5/1900,3/5/2020,37,34,3/6/2019,43,49,3/6/2018,42,113,3/6/2017,42,60,3/5/2016,38,40,41.25,1.823612851,2.172968737,2.855765001,65.5,26.89809309,32.05105479,42.12222611,5-Mar, 
