date, pm25, o3, no2, co
2018/4/9, 10, 32, 12, 2
2018/4/10, 15, 32, 13, 2
2018/4/11, 42, 37, 19, 2
2018/4/12, 27, 37, 21, 3
2018/4/13, 55, 39, 14, 2
2018/4/14, 48, 42, 13, 3
2018/4/15, 53, 36, , 
2018/4/16, 17, 38, 7, 2
2018/4/17, 22, 25, 9, 2
2018/4/18, 7, 29, 10, 2
2018/4/19, 15, 28, 13, 2
2018/4/20, 17, 33, 8, 2
2018/4/21, 6, 41, 11, 2
2018/4/22, 10, 43, 14, 2
2018/4/23, 15, 45, 23, 3
2018/4/24, 47, 43, 16, 2
2018/4/25, 24, 39, 10, 2
2018/4/26, 24, 41, 12, 2
2018/4/27, 19, 35, 15, 3
2018/4/28, 23, 43, 16, 4
2018/4/29, 53, 31, 6, 2
2018/4/30, 22, 32, 9, 2
2018/5/1, 12, 54, 27, 3
2018/5/2, 35, 30, 14, 2
2018/5/3, 40, , 16, 3
2018/5/4, 50, 40, 21, 3
2018/5/5, 56, 46, 8, 2
2018/5/6, 20, 39, 11, 2
2018/5/7, 29, 42, 10, 2
2018/5/8, 33, 43, 10, 2
2018/5/9, 21, 32, 14, 2
2018/5/10, 32, 30, 11, 2
2018/5/11, 19, 38, 17, 3
2018/5/12, 23, 40, 7, 2
2018/5/13, 26, 31, 4, 2
2018/5/14, 15, 29, 12, 2
2018/5/15, 37, 36, 16, 3
2018/5/16, 47, 32, 8, 2
