Week,Date,Bronx,Queens,Rockland,Westchester,Average
41,10/3/2019 - 10/9/2019,19.14285714,16.28571429,9.6,5.857142857,12.72142857
42,10/10/2019 - 10/16/2019,21.85714286,19.28571429,13.5,12,16.66071429
43,10/17/2019 - 10/23/2019,25.42857143,21.85714286,16.28571429,15.42857143,19.75
44,10/24/2019 - 10/30/2019,27,25.57142857,18.14285714,14.85714286,21.39285714
45,10/31/2019 - 11/6/2019,30.14285714,24.14285714,18.83333333,19.33333333,23.11309524
46,11/7/2019 - 11/13/2019,34.71428571,28.28571429,24,23.85714286,27.71428571
47,11/14/2019 - 11/20/2019,31.28571429,27.57142857,17.71428571,17,23.39285714
48,11/21/2019 - 11/27/2019,45.85714286,39.14285714,31.14285714,30.85714286,36.75
49,11/28/2019 - 12/4/2019,23.85714286,23.57142857,15.14285714,16.28571429,19.71428571
50,12/5/2019 - 12/11/2019,30.42857143,30.57142857,22.85714286,24.14285714,27
51,12/12/2019 - 12/18/2019,31.57142857,34.71428571,22.57142857,21.14285714,27.5
52,12/19/2019 - 12/25/2019,53.28571429,54.14285714,39,39.42857143,46.46428571
1,12/26/2019 - 1/1/2020,46.5,44.33333333,34,32.83333333,39.41666667
