DateNoYear,Date20,PM2.5 AQI Value 20,NO2 AQI Value 20,Date19,PM2.5 AQI Value 19,NO2 AQI Value 19,Date18,PM2.5 AQI Value 18,NO2 AQI Value 18,Date17,PM2.5 AQI Value 17,NO2 AQI Value 17,Date16,PM2.5 AQI Value 16,NO2 AQI Value 16,Avg PM2.5,confidence 90 PM2.5,confidence 95 PM2.5,confidence 99 PM2.5,Avg NO2,confidence 90 NO2,confidence 95 NO2,confidence 90 NO2
3/18/1900,3/18/2020,30,28,3/19/2019,54,28,3/19/2018,15,25,3/19/2017,38,24,3/18/2016,18,14,31.25,15.03602258,17.91652597,23.54630645,22.75,4.99699024,5.954281124,7.825251852
3/19/1900,3/19/2020,36,10,3/20/2019,51,30,3/20/2018,22,36,3/20/2017,55,35,3/19/2016,17,31,36.25,16.05137528,19.12639334,25.1363417,33,2.421158982,2.88498887,3.791518074
3/20/1900,3/20/2020,22,6,3/21/2019,39,22,3/21/2018,18,24,3/21/2017,54,24,3/20/2016,22,32,33.25,13.61979527,16.22898704,21.32850436,25.5,3.647225701,4.345937475,5.711530001
3/21/1900,3/21/2020,20,21,3/22/2019,39,12,3/22/2018,17,14,3/22/2017,23,16,3/21/2016,22,26,25.25,7.841858714,9.344150993,12.28029603,17,5.114057755,6.093775671,8.008578763
3/22/1900,3/22/2020,27,24,3/23/2019,18,6,3/23/2018,20,20,3/23/2017,25,33,3/22/2016,35,25,24.5,6.245391752,7.441843275,9.780239908,21,9.328896743,11.11606609,14.60898721
3/23/1900,3/23/2020,25,9,3/24/2019,34,15,3/24/2018,18,16,3/24/2017,46,22,3/23/2016,34,29,33,9.448964704,11.25913589,14.7970128,20.5,5.308742253,6.325756559,8.313453329
3/24/1900,3/24/2020,17,16,3/25/2019,13,11,3/25/2018,23,28,3/25/2017,24,10,3/24/2016,24,11,21,4.403376896,5.246947196,6.895657496,15,7.138235196,8.505731859,11.17842651
3/25/1900,3/25/2020,20,10,3/26/2019,18,35,3/26/2018,23,34,3/26/2017,31,6,3/25/2016,33,15,26.25,5.752090213,6.854038238,9.007733142,22.5,11.79449134,14.05400326,18.47009114
3/26/1900,3/26/2020,25,15,3/27/2019,25,34,3/27/2018,23,12,3/27/2017,21,15,3/26/2016,29,26,24.5,2.809122355,3.347275742,4.399066009,21.75,8.343343362,9.941706807,13.06561749
3/27/1900,3/27/2020,19,11,3/28/2019,57,17,3/28/2018,19,19,3/28/2017,31,23,3/27/2016,38,26,36.25,13.07934471,15.58500048,20.48216256,21.25,3.315308475,3.950433705,5.19174994
3/28/1900,3/28/2020,24,13,3/29/2019,19,18,3/29/2018,44,21,3/29/2017,25,26,3/28/2016,22,11,27.5,9.268279488,11.04383618,14.51406101,19,5.157956052,6.146083718,8.07732319
3/29/1900,3/29/2020,18,3,3/30/2019,40,12,3/30/2018,20,8,3/30/2017,12,26,3/29/2016,22,20,23.5,9.719493759,11.58149115,15.22065941,16.5,6.630616949,7.90086741,10.38349988
3/30/1900,3/30/2020,13,6,3/31/2019,15,6,3/31/2018,9,17,3/31/2017,12,18,3/30/2016,21,30,14.25,4.213683533,5.020913613,6.598599014,17.75,8.068589676,9.614317598,12.63535514
3/31/1900,3/31/2020,22,6,4/1/2019,17,16,4/1/2018,11,8,4/1/2017,12,14,3/31/2016,28,17,17,6.405784552,7.632963084,10.03141391,13.75,3.315308475,3.950433705,5.19174994
4/1/1900,4/1/2020,19,.,4/2/2019,25,28,4/2/2018,32,29,4/2/2017,20,13,4/1/2016,26,14,25.75,4.049982369,4.825851645,6.342244133,21,7.138235196,8.505731859,11.17842651
4/2/1900,4/2/2020,19,.,4/3/2019,32,22,4/3/2018,31,21,4/3/2017,25,33,4/2/2016,30,11,29.5,2.557028878,3.046887836,4.004289382,21.75,7.39803281,8.815299809,11.58526776
4/3/1900,4/3/2020,11,.,4/4/2019,19,27,4/4/2018,25,7,4/4/2017,14,18,4/3/2016,30,14,22,5.737372688,6.836501224,8.984685599,16.5,6.864513711,8.179572592,10.74978058
4/4/1900,4/4/2020,33,.,4/5/2019,29,19,4/5/2018,22,16,4/5/2017,15,9,4/4/2016,28,20,23.5,5.308742253,6.325756559,8.313453329,16,4.084627845,4.867134276,6.396498707
4/5/1900,4/5/2020,31,.,4/6/2019,50,18,4/6/2018,33,32,4/6/2017,9,15,4/5/2016,33,38,31.25,13.86588193,16.52221739,21.71387436,25.75,9.068475501,10.80575504,14.20116936
4/6/1900,4/6/2020,18,.,4/7/2019,49,23,4/7/2018,16,8,4/7/2017,13,13,4/6/2016,36,29,28.5,14.02955047,16.71724048,21.97017815,18.25,7.813054728,9.309828927,12.23518919
