date, pm25, o3, no2, co
2018/10/3, 39, , , 1
2018/10/4, 19, , , 3
2018/10/5, 46, , , 1
2018/10/6, 20, 16, , 1
2018/10/7, 25, 20, , 2
2018/10/8, 41, 9, , 2
2018/10/9, 25, 9, , 3
2018/10/10, 34, 19, , 2
2018/10/11, 31, 14, , 2
2018/10/12, 19, 35, , 1
2018/10/13, 16, 18, , 1
2018/10/14, 14, 19, , 2
2018/10/15, 24, 15, , 2
2018/10/16, 33, 31, , 1
2018/10/17, 16, 23, , 1
2018/10/18, 27, 24, , 1
2018/10/19, 16, 23, , 2
2018/10/20, 22, 40, , 2
2018/10/21, 23, 34, , 1
2018/10/22, 24, 16, , 2
2018/10/23, 25, 28, , 2
2018/10/24, 32, 22, , 1
2018/10/25, 22, 21, , 1
2018/10/26, 17, 17, , 2
2018/10/27, 27, 30, , 2
2018/10/28, 15, 21, , 2
2018/10/29, 21, 26, , 2
2018/10/30, 30, 24, , 1
2018/10/31, 25, 28, , 4
2018/11/1, 45, 24, , 3
2018/11/2, 58, 22, , 2
2018/11/3, 38, 29, , 1
2018/11/4, 23, 21, , 3
2018/11/5, 28, 21, , 4
2018/11/6, 27, 8, , 4
2018/11/7, 28, 19, , 2
2018/11/8, 30, 19, , 2
2018/11/9, 32, 16, , 4
2018/11/10, 26, 23, , 1
2018/11/11, 25, 21, , 2
2018/11/12, 31, 14, , 5
2018/11/13, 50, 24, , 3
2018/11/14, 36, 24, , 1
2018/11/15, 26, 19, , 3
2018/11/16, 23, 27, , 2
2018/11/17, 31, 16, , 2
2018/11/18, 43, 18, , 2
2018/11/19, 29, 15, , 6
2018/11/20, 56, 22, , 3
2018/11/21, 41, 19, , 2
2018/11/22, 34, 23, , 1
2018/11/23, 26, 13, , 3
2018/11/24, 30, 25, , 5
2018/11/25, 37, 28, , 2
2018/11/26, 40, 25, , 6
2018/11/27, 40, 25, , 2
2018/11/28, 22, 16, , 1
2018/11/29, 21, 20, , 1
2018/11/30, 26, 9, , 4
2018/12/1, 44, 20, , 4
2018/12/2, 45, 19, , 9
2018/12/3, 42, 24, , 3
2018/12/4, 32, 22, , 2
2018/12/5, 27, 18, , 3
2018/12/6, 32, 14, , 3
2018/12/7, 42, 19, , 2
2018/12/8, 38, 15, , 3
2018/12/9, 41, 10, , 3
2018/12/10, 39, 19, , 3
2018/12/11, 45, 10, , 5
2018/12/12, 53, 14, , 2
2018/12/13, 55, 16, , 4
2018/12/14, 49, 25, , 6
2018/12/15, 46, 15, , 6
2018/12/16, 54, 31, , 2
2018/12/17, 36, 33, , 2
2018/12/18, 34, 24, , 2
2018/12/19, 36, 15, , 3
2018/12/20, 47, 12, , 4
2018/12/21, 57, 27, , 2
2018/12/22, 33, 22, , 2
2018/12/23, 45, 22, , 2
2018/12/24, 43, 21, , 3
2018/12/25, 48, 19, , 2
2018/12/26, 38, 16, , 3
2018/12/27, 47, 12, , 4
2018/12/28, 51, 25, , 3
2018/12/29, 43, 24, , 2
2018/12/30, 40, 17, , 4
2018/12/31, 46, , , 
2018/7/2, 72, 88, , 3
2018/7/3, 85, 52, , 3
2018/7/4, 80, 43, , 2
2018/7/5, 61, 22, , 1
2018/7/6, 28, 23, , 1
2018/7/7, 25, 33, , 1
2018/7/8, 12, 42, , 1
2018/7/9, 20, 68, , 2
2018/7/10, 32, 70, , 2
2018/7/11, 42, 39, , 1
2018/7/12, 43, 47, , 2
2018/7/13, 35, 51, , 2
2018/7/14, 40, 47, , 1
2018/7/15, 38, 42, , 2
2018/7/16, 27, 67, , 2
2018/7/17, 53, 45, , 2
2018/7/18, 45, 26, , 1
2018/7/19, 22, 46, , 1
2018/7/20, 25, 41, , 1
2018/7/21, 33, 31, , 1
2018/7/22, 22, 25, , 1
2018/7/23, 30, 21, , 1
2018/7/24, 51, 17, , 
2018/7/25, 29, 19, , 1
2018/7/26, 18, 39, , 1
2018/7/27, 23, 43, , 2
2018/7/28, 50, 64, , 3
2018/7/29, 45, 32, , 1
2018/7/30, 23, 33, , 2
2018/7/31, 34, 39, , 2
2018/8/1, 32, 32, , 1
2018/8/2, 29, 33, , 1
2018/8/3, 24, 17, , 1
2018/8/4, 29, 32, , 1
2018/8/5, 16, 48, , 3
2018/8/6, 43, 68, , 2
2018/8/7, 67, 53, , 3
2018/8/8, 59, 63, , 3
2018/8/9, 58, 38, , 1
2018/8/10, 43, 47, , 2
2018/8/11, 72, 37, , 2
2018/8/12, 61, 39, , 2
2018/8/13, 52, 26, , 2
2018/8/14, 44, 36, , 3
2018/8/15, 61, 39, , 2
2018/8/16, 72, 57, , 2
2018/8/17, 104, 66, , 3
2018/8/18, 126, 40, , 2
2018/8/19, 30, , , 
2018/8/20, 18, , , 
2018/8/21, 19, , , 1
2018/8/22, 19, 35, , 1
2018/8/23, 26, 24, , 2
2018/8/24, 35, 48, , 2
2018/8/25, 51, 41, , 2
2018/8/26, 34, 46, , 2
2018/8/27, 41, 54, , 3
2018/8/28, 68, 47, , 3
2018/8/29, 88, 45, , 2
2018/8/30, 86, 38, , 1
2018/8/31, 31, 20, , 2
2018/9/1, 18, 34, , 2
2018/9/2, 25, 31, , 2
2018/9/3, 34, 46, , 2
2018/9/4, 45, 43, , 1
2018/9/5, 28, 42, , 2
2018/9/6, 48, 51, , 2
2018/9/7, 51, 22, , 2
2018/9/8, 27, 19, , 1
2018/9/9, 20, 14, , 2
2018/9/10, 16, 19, , 1
2018/9/11, 10, 13, , 3
2018/9/12, 34, 8, , 4
2018/9/13, 27, 19, , 2
2018/9/14, 12, 22, , 2
2018/9/15, 15, 34, , 3
2018/9/16, 27, 40, , 3
2018/9/17, 35, 20, , 2
2018/9/18, 23, 18, , 1
2018/9/19, 20, 28, , 1
2018/9/20, 34, 18, , 1
2018/9/21, 15, 19, , 1
2018/9/22, 16, 20, , 1
2018/9/23, 22, 19, , 2
2018/9/24, 11, 22, , 2
2018/9/25, 21, 21, , 1
2018/9/26, 16, 17, , 2
2018/9/27, 29, 27, , 1
2018/9/28, 15, 18, , 1
2018/9/29, 16, 27, , 2
2018/9/30, 25, 28, , 2
2018/10/1, 22, 26, , 2
2018/4/2, 23, 32, , 3
2018/4/3, 25, 24, , 3
2018/4/4, 20, 34, , 4
2018/4/5, 28, 34, , 1
2018/4/6, 18, 33, , 4
2018/4/7, 36, 35, , 2
2018/4/8, 16, 32, , 2
2018/4/9, 21, 30, , 2
2018/4/10, 23, 31, , 2
2018/4/11, 33, 30, , 3
2018/4/12, 37, 33, , 4
2018/4/13, 55, 46, , 2
2018/4/14, 62, 44, , 3
2018/4/15, 57, 34, , 
2018/4/16, 40, 36, , 2
2018/4/17, 28, 25, , 2
2018/4/18, 11, 28, , 2
2018/4/19, 19, 30, , 2
2018/4/20, 24, 28, , 1
2018/4/21, 20, 38, , 2
2018/4/22, 16, 42, , 2
2018/4/23, 19, 41, , 4
2018/4/24, 42, 42, , 3
2018/4/25, 27, 30, , 3
2018/4/26, 23, 38, , 2
2018/4/27, 20, 25, , 2
2018/4/28, 20, 40, , 2
2018/4/29, 34, 28, , 1
2018/4/30, 17, 28, , 1
2018/5/1, 18, 46, , 2
2018/5/2, 35, 56, , 2
2018/5/3, 46, 50, , 2
2018/5/4, 60, 44, , 2
2018/5/5, 51, 44, , 1
2018/5/6, 20, 39, , 2
2018/5/7, 33, 41, , 2
2018/5/8, 33, 43, , 2
2018/5/9, 30, 40, , 2
2018/5/10, 33, 27, , 2
2018/5/11, 22, 26, , 2
2018/5/12, 22, 26, , 2
2018/5/13, 24, 24, , 2
2018/5/14, 13, 22, , 3
2018/5/15, 30, 54, , 3
2018/5/16, 49, 24, , 2
2018/5/17, 26, 20, , 4
2018/5/18, 33, 29, , 2
2018/5/19, 22, 25, , 2
2018/5/20, 15, 28, , 2
2018/5/21, 24, 41, , 2
2018/5/22, 23, 25, , 3
2018/5/23, 36, 33, , 2
2018/5/24, 28, 52, , 2
2018/5/25, 31, 50, , 2
2018/5/26, 46, 52, , 2
2018/5/27, 57, 38, , 2
2018/5/28, 32, 20, , 2
2018/5/29, 21, 62, , 3
2018/5/30, 49, 29, , 2
2018/5/31, 27, 20, , 2
2018/6/1, 31, 20, , 3
2018/6/2, 41, 40, , 2
