"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"11/14/2015","","PINNACLE STATE PARK","36-101-0003","7"
"11/15/2015","","PINNACLE STATE PARK","36-101-0003","15"
"11/16/2015","","PINNACLE STATE PARK","36-101-0003","28"
"11/17/2015","","PINNACLE STATE PARK","36-101-0003","23"
"11/18/2015","","PINNACLE STATE PARK","36-101-0003","13"
"11/19/2015","","PINNACLE STATE PARK","36-101-0003","3"
"11/20/2015","","PINNACLE STATE PARK","36-101-0003","11"
"11/21/2015","","PINNACLE STATE PARK","36-101-0003","14"
"11/22/2015","","PINNACLE STATE PARK","36-101-0003","8"
"11/23/2015","","PINNACLE STATE PARK","36-101-0003","11"
"11/24/2015","","PINNACLE STATE PARK","36-101-0003","27"
"11/25/2015","","PINNACLE STATE PARK","36-101-0003","32"
"11/26/2015","","PINNACLE STATE PARK","36-101-0003","40"
"11/27/2015","","PINNACLE STATE PARK","36-101-0003","10"
"11/28/2015","","PINNACLE STATE PARK","36-101-0003","4"
"11/29/2015","","PINNACLE STATE PARK","36-101-0003","15"
"12/01/2015","","PINNACLE STATE PARK","36-101-0003","3"
"12/02/2015","","PINNACLE STATE PARK","36-101-0003","3"
"12/04/2015","","PINNACLE STATE PARK","36-101-0003","13"
"12/05/2015","","PINNACLE STATE PARK","36-101-0003","27"
"12/06/2015","","PINNACLE STATE PARK","36-101-0003","25"
"12/07/2015","","PINNACLE STATE PARK","36-101-0003","20"
"12/08/2015","","PINNACLE STATE PARK","36-101-0003","51"
"12/09/2015","","PINNACLE STATE PARK","36-101-0003","48"
"12/10/2015","","PINNACLE STATE PARK","36-101-0003","54"
"12/11/2015","","PINNACLE STATE PARK","36-101-0003","39"
"12/12/2015","","PINNACLE STATE PARK","36-101-0003","40"
"12/13/2015","","PINNACLE STATE PARK","36-101-0003","37"
"12/14/2015","","PINNACLE STATE PARK","36-101-0003","35"
"12/15/2015","","PINNACLE STATE PARK","36-101-0003","7"
"12/16/2015","","PINNACLE STATE PARK","36-101-0003","13"
"12/17/2015","","PINNACLE STATE PARK","36-101-0003","16"
"12/18/2015","","PINNACLE STATE PARK","36-101-0003","7"
"12/19/2015","","PINNACLE STATE PARK","36-101-0003","13"
"12/20/2015","","PINNACLE STATE PARK","36-101-0003","14"
"12/21/2015","","PINNACLE STATE PARK","36-101-0003","14"
"12/22/2015","","PINNACLE STATE PARK","36-101-0003","9"
"12/23/2015","","PINNACLE STATE PARK","36-101-0003","6"
"12/24/2015","","PINNACLE STATE PARK","36-101-0003","8"
"12/25/2015","","PINNACLE STATE PARK","36-101-0003","8"
"12/26/2015","","PINNACLE STATE PARK","36-101-0003","15"
